Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date
NER,Mizoram,77,1,1.2,01-01-2015
WR,DD,214,0,4.8,01-01-2015
WR,Goa,383,0,7.3,01-01-2015
WR,Maharashtra,14837,57,315,01-01-2015
WR,MP,5740,0,109.8,01-01-2015
WR,Gujarat,11383,0,246.4,01-01-2015
WR,Chhattisgarh,3052,18,64.6,01-01-2015
WR,DNH,581,0,14,01-01-2015
NR,Chandigarh,224,0,3.8,01-01-2015
NR,HP,1367,0,25.1,01-01-2015
NR,Uttarakhand,1768,0,33.9,01-01-2015
NR,UP,9998,3645,244,01-01-2015
NR,Delhi,4009,0,67.6,01-01-2015
NR,Rajasthan,9810,0,204.9,01-01-2015
NR,Haryana,6025,0,116.8,01-01-2015
NR,J&K,1959,346,37.3,01-01-2015
NR,Punjab,5045,0,93.3,01-01-2015
WR,Essar steel,258,0,5.4,01-01-2015
SR,Andhra Pradesh,5963,0,131.5,01-01-2015
NER,Meghalaya,311,1,5.1,01-01-2015
NER,Manipur,136,2,2.6,01-01-2015
NER,Assam,1210,37,21.8,01-01-2015
NER,Arunachal Pradesh,103,2,1.8,01-01-2015
ER,Sikkim,89,0,1.8,01-01-2015
ER,West Bengal,5888,0,101,01-01-2015
ER,Odisha,3011,0,65.6,01-01-2015
ER,Jharkhand,1012,119,22,01-01-2015
ER,DVC,2243,0,51.8,01-01-2015
ER,Bihar,2679,0,52.2,01-01-2015
SR,Pondy,278,0,5.4,01-01-2015
SR,Tamil Nadu,10621,891,235.5,01-01-2015
SR,Kerala,3288,125,60.9,01-01-2015
SR,Karnataka,7914,300,166.1,01-01-2015
SR,Telangana,6173,300,136.9,01-01-2015
NER,Nagaland,116,3,2.4,01-01-2015
NER,Tripura,208,2,2.7,01-01-2015
NER,Tripura,205,1,3.1,01-01-2016
NER,Manipur,134,1,2.3,01-01-2016
WR,Maharashtra,18950,0,381.7,01-01-2016
WR,MP,9907,0,214.3,01-01-2016
WR,Gujarat,12228,0,261.4,01-01-2016
WR,Chhattisgarh,2992,0,69.2,01-01-2016
NR,Chandigarh,188,0,3.1,01-01-2016
NR,J&K,2242,560,46.7,01-01-2016
WR,Goa,377,0,7.6,01-01-2016
NR,HP,1250,5,22.3,01-01-2016
NR,UP,13251,0,282.3,01-01-2016
NR,Delhi,3482,0,56.3,01-01-2016
NR,Rajasthan,9206,0,199.7,01-01-2016
NR,Haryana,5763,0,105.4,01-01-2016
NR,Punjab,4900,0,91.1,01-01-2016
NER,Nagaland,112,6,1.9,01-01-2016
NR,Uttarakhand,1684,0,29.7,01-01-2016
NER,Meghalaya,253,0,4.5,01-01-2016
WR,DD,237,0,5,01-01-2016
WR,Essar steel,578,0,11.9,01-01-2016
NER,Assam,1340,10,20.5,01-01-2016
NER,Arunachal Pradesh,94,1,2,01-01-2016
ER,Sikkim,84,0,1.4,01-01-2016
ER,West Bengal,5826,0,95,01-01-2016
ER,Odisha,3913,0,75,01-01-2016
ER,Jharkhand,1110,0,23,01-01-2016
WR,DNH,653,0,14.2,01-01-2016
ER,DVC,2439,0,56.1,01-01-2016
SR,Pondy,259,0,6,01-01-2016
SR,Tamil Nadu,12352,0,257.1,01-01-2016
SR,Kerala,3010,0,56.2,01-01-2016
SR,Karnataka,9011,0,183,01-01-2016
SR,Telangana,7591,0,144.3,01-01-2016
SR,Andhra Pradesh,6700,0,141.8,01-01-2016
ER,Bihar,3611,250,62.7,01-01-2016
NER,Mizoram,82,1,1.3,01-01-2016
NER,Tripura,209,1,3.5,01-01-2016
SR,Pondy,288,0,5.9,01-01-2016
SR,Karnataka,8232,600,174.7,01-01-2016
SR,Kerala,3296,0,59.7,01-01-2016
SR,Tamil Nadu,11924,0,254.6,01-01-2016
NER,Nagaland,113,2,1.8,01-01-2016
ER,Bihar,3356,150,66.3,01-01-2016
ER,DVC,2489,0,51.8,01-01-2016
SR,Andhra Pradesh,6520,0,131.3,01-01-2016
ER,Jharkhand,1001,140,22.9,01-01-2016
ER,West Bengal,6281,-5,110.2,01-01-2016
NER,Arunachal Pradesh,105,2,1.8,01-01-2016
NER,Assam,1256,24,21,01-01-2016
NER,Manipur,165,3,2.8,01-01-2016
NER,Meghalaya,281,3,4.8,01-01-2016
NER,Mizoram,89,4,1.4,01-01-2016
ER,Odisha,3588,0,76.5,01-01-2016
WR,Essar steel,513,0,10.7,01-01-2016
SR,Telangana,6258,0,127,01-01-2016
WR,DD,239,0,5.5,01-01-2016
NR,Punjab,5013,0,94.3,01-01-2016
NR,Haryana,5919,0,111.4,01-01-2016
NR,Rajasthan,10256,0,222.2,01-01-2016
NR,Delhi,3768,0,62.3,01-01-2016
WR,DNH,631,0,14.5,01-01-2016
NR,Uttarakhand,1847,0,34.4,01-01-2016
NR,HP,1369,0,24.8,01-01-2016
NR,UP,10770,1055,237,01-01-2016
NR,Chandigarh,216,0,3.7,01-01-2016
WR,Chhattisgarh,3323,96,73.8,01-01-2016
WR,Gujarat,12762,13,273.3,01-01-2016
WR,MP,11019,0,221,01-01-2016
WR,Maharashtra,16999,15,352.4,01-01-2016
WR,Goa,392,0,7.8,01-01-2016
NR,J&K,2028,507,44.6,01-01-2016
WR,Chhattisgarh,3288,0,71.7,01-01-2018
WR,DD,246,0,5.6,01-01-2018
WR,Goa,421,0,9.2,01-01-2018
WR,Maharashtra,19226,0,386.5,01-01-2018
WR,MP,9951,0,223,01-01-2018
WR,Gujarat,13653,0,283.1,01-01-2018
NR,Chandigarh,217,0,3.5,01-01-2018
NER,Nagaland,110,4,2.4,01-01-2018
NR,HP,1501,0,26.5,01-01-2018
NR,Uttarakhand,1943,0,34.5,01-01-2018
NR,UP,14989,0,281.9,01-01-2018
NR,Delhi,3954,0,63.7,01-01-2018
NR,Rajasthan,10127,0,202.8,01-01-2018
NR,Haryana,6101,0,109.4,01-01-2018
NR,J&K,2294,574,46.7,01-01-2018
WR,DNH,670,0,15.9,01-01-2018
NER,Meghalaya,315,0,5.9,01-01-2018
SR,Andhra Pradesh,8193,0,153.6,01-01-2018
NER,Mizoram,109,6,1.7,01-01-2018
NER,Manipur,176,4,2.6,01-01-2018
NER,Assam,1340,29,21.3,01-01-2018
NER,Arunachal Pradesh,134,1,2,01-01-2018
ER,Sikkim,93,0,1.3,01-01-2018
ER,West Bengal,5556,0,87.3,01-01-2018
ER,Odisha,3723,0,68.6,01-01-2018
ER,Jharkhand,1157,0,23.8,01-01-2018
ER,DVC,3294,0,67.1,01-01-2018
ER,Bihar,3881,0,74.4,01-01-2018
SR,Pondy,305,0,5.9,01-01-2018
SR,Tamil Nadu,12719,0,277.3,01-01-2018
SR,Kerala,3353,0,64,01-01-2018
SR,Karnataka,9800,0,197.1,01-01-2018
SR,Telangana,9115,0,184.8,01-01-2018
WR,Essar steel,436,0,8.7,01-01-2018
NR,Punjab,5674,0,105.4,01-01-2018
NER,Tripura,220,4,3.3,01-01-2018
NER,Nagaland,119,0,2.1,01-01-2019
WR,Goa,462,0,9,01-01-2019
WR,Maharashtra,19364,0,385.7,01-01-2019
WR,MP,14002,0,257.8,01-01-2019
WR,Gujarat,14710,0,312.4,01-01-2019
WR,Chhattisgarh,3403,0,75.9,01-01-2019
NR,Chandigarh,240,0,3.8,01-01-2019
WR,DD,257,0,5.8,01-01-2019
NR,J&K,2486,621,51.6,01-01-2019
NR,Uttarakhand,2111,0,37.4,01-01-2019
NR,UP,14437,0,295,01-01-2019
NR,Delhi,4336,0,69.6,01-01-2019
NR,Rajasthan,12538,435,238.3,01-01-2019
NR,Haryana,6444,0,123.4,01-01-2019
NR,Punjab,5508,0,109.2,01-01-2019
NR,HP,1630,0,30.4,01-01-2019
WR,DNH,669,0,15.6,01-01-2019
WR,Essar steel,535,0,10.9,01-01-2019
SR,Andhra Pradesh,7915,0,155.6,01-01-2019
NER,Mizoram,88,0,1.6,01-01-2019
NER,Meghalaya,325,0,6.6,01-01-2019
NER,Manipur,197,0,2.7,01-01-2019
NER,Assam,1321,0,23.2,01-01-2019
NER,Arunachal Pradesh,121,0,2.3,01-01-2019
ER,Sikkim,91,0,1.3,01-01-2019
ER,West Bengal,5863,0,104.7,01-01-2019
ER,Odisha,3832,0,70.5,01-01-2019
ER,Jharkhand,1091,67,25.2,01-01-2019
ER,DVC,3101,0,66.4,01-01-2019
ER,Bihar,4139,0,77.6,01-01-2019
SR,Pondy,339,0,6.8,01-01-2019
SR,Tamil Nadu,13140,0,270,01-01-2019
SR,Kerala,3501,0,68.1,01-01-2019
SR,Telangana,8776,0,178.6,01-01-2019
NER,Tripura,224,0,3.5,01-01-2019
SR,Karnataka,10675,0,199.3,01-01-2019
NR,HP,1722,0,30.1,01-01-2020
NR,Punjab,6057,0,118.8,01-01-2020
NER,Nagaland,121,2,2.2,01-01-2020
NER,Mizoram,98,1,1.7,01-01-2020
NER,Meghalaya,379,0,6.3,01-01-2020
NER,Manipur,193,3,2.4,01-01-2020
NER,Assam,1264,16,21.7,01-01-2020
NER,Arunachal Pradesh,117,2,2.2,01-01-2020
ER,Sikkim,120,0,1.7,01-01-2020
ER,West Bengal,6009,0,106.8,01-01-2020
ER,Odisha,3620,0,66.3,01-01-2020
ER,Jharkhand,1281,0,26.3,01-01-2020
ER,DVC,3060,0,64.6,01-01-2020
ER,Bihar,4424,0,82.9,01-01-2020
SR,Pondy,317,0,6.4,01-01-2020
SR,Tamil Nadu,11770,0,270.3,01-01-2020
SR,Kerala,3560,0,73.4,01-01-2020
SR,Karnataka,11590,0,205.3,01-01-2020
SR,Telangana,10253,0,201.2,01-01-2020
NR,Delhi,5210,0,83.5,01-01-2020
NR,UP,16987,0,320.7,01-01-2020
NR,Uttarakhand,2114,0,38.1,01-01-2020
NR,J&K(UT) and Ladakh(UT),2792,698,53.2,01-01-2020
NR,Chandigarh,293,0,4.8,01-01-2020
WR,Chhattisgarh,3509,0,74.8,01-01-2020
NER,Tripura,220,0,3.5,01-01-2020
WR,Gujarat,14523,0,301.9,01-01-2020
WR,Maharashtra,19706,0,395.8,01-01-2020
WR,Goa,476,0,12.6,01-01-2020
WR,DD,263,0,5.8,01-01-2020
WR,DNH,728,0,16.7,01-01-2020
WR,Essar steel,277,0,5.5,01-01-2020
SR,Andhra Pradesh,8657,0,165.2,01-01-2020
WR,MP,13575,0,239.3,01-01-2020
NR,Rajasthan,13711,0,239.8,01-01-2020
NR,Haryana,6453,0,128.2,01-01-2020
NER,Manipur,215,1,3,01-01-2021
WR,Maharashtra,22156,0,442.4,01-01-2021
WR,MP,15425,0,295.4,01-01-2021
WR,Gujarat,16505,0,334.5,01-01-2021
WR,Chhattisgarh,4067,0,85.3,01-01-2021
NR,Chandigarh,285,0,4.5,01-01-2021
NR,J&K(UT) & Ladakh(UT),2754,550,57.6,01-01-2021
WR,Goa,490,0,10.3,01-01-2021
NR,HP,1859,0,33.2,01-01-2021
NR,UP,17642,0,313.6,01-01-2021
NR,Delhi,4918,1,77,01-01-2021
NER,Nagaland,130,1,2.3,01-01-2021
NR,Rajasthan,14088,0,264.4,01-01-2021
NR,Haryana,6270,0,127.8,01-01-2021
NR,Punjab,6516,0,124.3,01-01-2021
NR,Uttarakhand,2232,0,40.2,01-01-2021
NER,Meghalaya,333,0,6.7,01-01-2021
WR,DD,269,0,6.1,01-01-2021
WR,AMNSIL,838,0,17.8,01-01-2021
NER,Assam,1325,20,24,01-01-2021
NER,Arunachal Pradesh,131,1,2.2,01-01-2021
ER,Sikkim,105,0,1.8,01-01-2021
ER,West Bengal,5622,0,113.8,01-01-2021
ER,Odisha,3769,0,68.4,01-01-2021
ER,Jharkhand,1625,102,26.9,01-01-2021
WR,DNH,757,0,17.3,01-01-2021
ER,DVC,3033,0,65.5,01-01-2021
SR,Puducherry,332,0,6.5,01-01-2021
SR,Tamil Nadu,11864,0,246.3,01-01-2021
SR,Kerala,3459,0,68.7,01-01-2021
SR,Karnataka,11706,0,207,01-01-2021
SR,Telangana,11302,0,204.8,01-01-2021
SR,Andhra Pradesh,8804,0,156.4,01-01-2021
ER,Bihar,4582,0,87.7,01-01-2021
NER,Mizoram,104,1,1.6,01-01-2021
NER,Tripura,217,0,3.6,01-01-2021
NR,Haryana,6988,0,127.4,01-01-2022
WR,AMNSIL,758,0,15.5,01-01-2022
WR,DNH,766,0,17.6,01-01-2022
WR,DD,274,0,6,01-01-2022
WR,Goa,576,0,11.9,01-01-2022
WR,Maharashtra,22712,0,458.7,01-01-2022
WR,Gujarat,16595,219,346.5,01-01-2022
WR,Chhattisgarh,3540,0,76.1,01-01-2022
NR,Chandigarh,233,0,3.8,01-01-2022
NR,J&K(UT) & Ladakh(UT),2881,300,60.4,01-01-2022
NR,HP,1907,0,35.3,01-01-2022
NR,Uttarakhand,2239,0,40.2,01-01-2022
NR,UP,17953,0,318.2,01-01-2022
NR,Delhi,4470,0,70.5,01-01-2022
NR,Rajasthan,15034,0,267.5,01-01-2022
NR,Punjab,7182,0,131.6,01-01-2022
SR,Andhra Pradesh,9242,0,170.7,01-01-2022
SR,Telangana,11050,0,197.8,01-01-2022
WR,MP,14062,0,266.4,01-01-2022
SR,Kerala,3709,0,74.9,01-01-2022
SR,Karnataka,11404,0,201,01-01-2022
NER,Nagaland,130,0,2.3,01-01-2022
NER,Mizoram,112,0,1.9,01-01-2022
NER,Meghalaya,353,0,7.1,01-01-2022
NER,Manipur,222,0,3.3,01-01-2022
NER,Assam,1365,0,23.7,01-01-2022
NER,Arunachal Pradesh,133,0,2.4,01-01-2022
ER,Sikkim,96,0,1.5,01-01-2022
NER,Tripura,211,0,3.4,01-01-2022
ER,Odisha,5391,0,99.7,01-01-2022
ER,Jharkhand,1429,228,27.4,01-01-2022
ER,DVC,3162,91,66.3,01-01-2022
ER,Bihar,4487,0,82.8,01-01-2022
SR,Puducherry,318,0,6.5,01-01-2022
SR,Tamil Nadu,12620,0,253.9,01-01-2022
ER,West Bengal,5679,0,108.1,01-01-2022
SR,Kerala,3444,0,69,01-01-2023
SR,Tamil Nadu,13131,0,269,01-01-2023
SR,Puducherry,337,0,7.8,01-01-2023
ER,Bihar,4980,0,91.3,01-01-2023
ER,DVC,3446,0,71.3,01-01-2023
ER,Jharkhand,1562,189,28.5,01-01-2023
ER,Odisha,4629,0,89.5,01-01-2023
NER,Arunachal Pradesh,146,0,2.6,01-01-2023
ER,Sikkim,96,0,1.6,01-01-2023
NER,Assam,1343,0,24.5,01-01-2023
NER,Manipur,215,0,3.4,01-01-2023
NER,Meghalaya,341,0,7.2,01-01-2023
NER,Mizoram,130,0,2.1,01-01-2023
SR,Karnataka,12522,0,214.6,01-01-2023
ER,West Bengal,5797,0,111.9,01-01-2023
SR,Telangana,13629,0,222.3,01-01-2023
NER,Nagaland,133,0,2,01-01-2023
WR,BALCO,518,0,12.3,01-01-2023
NR,Haryana,6479,0,125.2,01-01-2023
NR,Rajasthan,16280,0,304.9,01-01-2023
NR,Delhi,4588,0,73.7,01-01-2023
NR,UP,17968,0,332.7,01-01-2023
NR,Uttarakhand,2135,150,41.3,01-01-2023
NR,HP,1901,0,34,01-01-2023
NR,J&K(UT) & Ladakh(UT),2833,0,63,01-01-2023
NR,Chandigarh,241,0,4.1,01-01-2023
WR,Chhattisgarh,4631,0,99.8,01-01-2023
WR,Gujarat,18088,0,356.9,01-01-2023
WR,MP,16360,0,310.2,01-01-2023
WR,Maharashtra,25161,0,506.8,01-01-2023
WR,Goa,591,0,12.1,01-01-2023
WR,DNHDDPDCL,1086,0,24.7,01-01-2023
WR,AMNSIL,807,0,17.1,01-01-2023
SR,Andhra Pradesh,10432,0,190.8,01-01-2023
NR,Punjab,7484,0,140,01-01-2023
NER,Tripura,213,0,3.7,01-01-2023
ER,Jharkhand,886,52,20.5,01-02-2014
NR,Rajasthan,9106,0,186.6,01-02-2014
NR,Delhi,3593,5,63.5,01-02-2014
NR,UP,10054,2115,223.1,01-02-2014
NR,Uttarakhand,1751,75,33.4,01-02-2014
NR,HP,1384,0,25,01-02-2014
NR,J&K,1940,100,41.2,01-02-2014
NR,Chandigarh,211,0,3.6,01-02-2014
WR,Chhattisgarh,3122,34,68.3,01-02-2014
WR,Gujarat,10976,23,243.7,01-02-2014
WR,Maharashtra,17361,278,364.8,01-02-2014
WR,Goa,402,1,7.9,01-02-2014
WR,DD,233,1,5.8,01-02-2014
WR,DNH,597,2,14,01-02-2014
WR,Essar steel,423,1,8.8,01-02-2014
SR,Andhra Pradesh,11215,400,258.5,01-02-2014
SR,Karnataka,8470,500,184.4,01-02-2014
SR,Kerala,3213,150,61.3,01-02-2014
NER,Tripura,197,0,2.8,01-02-2014
NER,Nagaland,99,1,1.6,01-02-2014
NER,Mizoram,75,1,1.1,01-02-2014
NER,Meghalaya,283,2,4.8,01-02-2014
NER,Manipur,121,4,1.5,01-02-2014
NER,Assam,895,281,15.1,01-02-2014
NR,Haryana,5685,0,105.6,01-02-2014
NER,Arunachal Pradesh,115,5,1.5,01-02-2014
ER,West Bengal,6012,0,109.5,01-02-2014
ER,Odisha,3554,0,65.4,01-02-2014
ER,DVC,2564,0,57.4,01-02-2014
ER,Bihar,2075,0,43.7,01-02-2014
SR,Pondy,298,0,6,01-02-2014
SR,Tamil Nadu,12037,866,258.1,01-02-2014
ER,Sikkim,82,0,1.2,01-02-2014
NR,Punjab,4698,0,89,01-02-2014
WR,MP,7748,24,150.7,01-02-2014
NER,Tripura,195,1,2.6,01-02-2015
WR,DD,244,0,5.6,01-02-2015
WR,Goa,331,0,7,01-02-2015
WR,Maharashtra,17644,187,359.4,01-02-2015
WR,MP,8217,0,156.8,01-02-2015
WR,Gujarat,11571,0,245.4,01-02-2015
WR,Chhattisgarh,3143,96,71.6,01-02-2015
NR,Chandigarh,203,0,3.4,01-02-2015
NER,Nagaland,118,2,2.4,01-02-2015
NR,HP,1285,0,24.3,01-02-2015
NR,Uttarakhand,1878,0,36,01-02-2015
NR,UP,10353,1850,227.1,01-02-2015
NR,Delhi,3693,5,54.8,01-02-2015
NR,Rajasthan,10067,0,200.4,01-02-2015
NR,Haryana,5979,0,113.5,01-02-2015
NR,Punjab,4680,0,92.1,01-02-2015
WR,DNH,614,0,14.8,01-02-2015
WR,Essar steel,297,0,5,01-02-2015
NR,J&K,1956,345,42.8,01-02-2015
SR,Telangana,5928,300,127.4,01-02-2015
NER,Mizoram,81,1,1.3,01-02-2015
SR,Andhra Pradesh,6274,0,138.1,01-02-2015
NER,Meghalaya,318,2,5.1,01-02-2015
NER,Manipur,132,3,2.1,01-02-2015
NER,Assam,1152,58,20.4,01-02-2015
ER,Sikkim,74,0,1.3,01-02-2015
ER,West Bengal,5863,0,100.7,01-02-2015
ER,Odisha,3354,0,65,01-02-2015
NER,Arunachal Pradesh,112,3,1.8,01-02-2015
ER,DVC,2430,0,55.7,01-02-2015
ER,Bihar,2845,0,56.7,01-02-2015
SR,Karnataka,8600,400,178.3,01-02-2015
SR,Pondy,272,0,5.5,01-02-2015
SR,Tamil Nadu,11376,737,246.5,01-02-2015
ER,Jharkhand,1023,0,21.9,01-02-2015
SR,Kerala,3146,0,56.9,01-02-2015
SR,Karnataka,9054,500,191.8,01-02-2016
SR,Telangana,6142,0,134.4,01-02-2016
SR,Andhra Pradesh,6705,0,135.3,01-02-2016
WR,DNH,685,0,15.9,01-02-2016
WR,DD,278,0,6.3,01-02-2016
WR,Maharashtra,18505,7,387.9,01-02-2016
SR,Kerala,3407,0,61.8,01-02-2016
WR,Goa,441,0,9.1,01-02-2016
WR,Essar steel,335,0,6.8,01-02-2016
SR,Tamil Nadu,12963,0,273.5,01-02-2016
NER,Arunachal Pradesh,111,3,1.9,01-02-2016
NER,Tripura,215,2,3.2,01-02-2016
NER,Nagaland,107,3,2.1,01-02-2016
NER,Mizoram,92,2,1.4,01-02-2016
NER,Meghalaya,340,2,5.4,01-02-2016
NER,Manipur,151,3,2.3,01-02-2016
NER,Assam,1332,30,22.5,01-02-2016
ER,Sikkim,102,0,1.3,01-02-2016
ER,West Bengal,6460,0,114.3,01-02-2016
ER,Odisha,3911,0,68.7,01-02-2016
ER,Jharkhand,934,-50,20.8,01-02-2016
WR,MP,10081,0,201.9,01-02-2016
SR,Pondy,286,0,5.7,01-02-2016
WR,Gujarat,12777,0,277.3,01-02-2016
NR,Haryana,6370,0,117,01-02-2016
NR,Chandigarh,220,0,3.7,01-02-2016
ER,DVC,2619,0,56.8,01-02-2016
WR,Chhattisgarh,3343,96,76.2,01-02-2016
NR,Punjab,4954,0,93.6,01-02-2016
NR,Rajasthan,10117,0,218.7,01-02-2016
ER,Bihar,3293,0,64.4,01-02-2016
NR,UP,10552,1980,233.9,01-02-2016
NR,Uttarakhand,1858,0,34.2,01-02-2016
NR,J&K,2031,508,44.1,01-02-2016
NR,HP,1428,0,25.5,01-02-2016
NR,Delhi,3555,0,62.4,01-02-2016
SR,Kerala,3540,0,68.2,01-02-2017
SR,Tamil Nadu,12518,0,267.5,01-02-2017
SR,Pondy,307,0,6.2,01-02-2017
ER,Bihar,3498,0,65.4,01-02-2017
ER,DVC,2946,0,64.2,01-02-2017
ER,Odisha,3733,0,69.8,01-02-2017
ER,West Bengal,6727,0,108.2,01-02-2017
ER,Sikkim,83,0,1.4,01-02-2017
NER,Assam,1382,4,21.5,01-02-2017
NER,Manipur,141,3,2.2,01-02-2017
NER,Meghalaya,297,0,5.4,01-02-2017
NER,Mizoram,89,1,1.5,01-02-2017
ER,Jharkhand,1062,0,23.8,01-02-2017
NER,Arunachal Pradesh,118,4,2,01-02-2017
ER,Odisha,3983,0,67.6,01-02-2017
NER,Tripura,207,1,3.7,01-02-2017
SR,Kerala,3591,0,68.6,01-02-2017
SR,Tamil Nadu,12444,0,264,01-02-2017
SR,Pondy,304,0,6,01-02-2017
ER,Bihar,3502,100,61.8,01-02-2017
ER,DVC,3039,0,64.3,01-02-2017
ER,Jharkhand,1104,0,23.3,01-02-2017
SR,Karnataka,9475,0,208.1,01-02-2017
ER,West Bengal,6959,0,110.8,01-02-2017
ER,Sikkim,82,0,1.1,01-02-2017
NER,Arunachal Pradesh,91,3,2.1,01-02-2017
NER,Assam,1364,0,21.8,01-02-2017
NER,Manipur,160,2,2.3,01-02-2017
NER,Meghalaya,285,0,5.8,01-02-2017
NER,Mizoram,85,1,1.5,01-02-2017
NER,Nagaland,97,3,2.1,01-02-2017
SR,Karnataka,9392,0,208.3,01-02-2017
SR,Telangana,8123,0,164.8,01-02-2017
SR,Andhra Pradesh,7307,0,152.5,01-02-2017
WR,Essar steel,483,0,10.2,01-02-2017
NR,Punjab,4976,0,92.2,01-02-2017
NR,Haryana,6090,336,100.9,01-02-2017
NR,Rajasthan,9631,40,202,01-02-2017
NR,Delhi,3712,0,63.6,01-02-2017
NR,UP,12017,240,261.3,01-02-2017
NR,Uttarakhand,1960,0,35.1,01-02-2017
NR,HP,1418,0,25,01-02-2017
NER,Nagaland,110,0,1.9,01-02-2017
NR,J&K,2053,513,44,01-02-2017
WR,Chhattisgarh,3263,0,74.8,01-02-2017
WR,Gujarat,13127,0,285.7,01-02-2017
WR,MP,9696,0,201.6,01-02-2017
WR,Maharashtra,20954,0,434,01-02-2017
WR,Goa,515,0,9.9,01-02-2017
WR,DD,305,0,6.8,01-02-2017
WR,DNH,707,0,16.5,01-02-2017
NR,Chandigarh,218,0,3.6,01-02-2017
SR,Telangana,8233,0,165.8,01-02-2017
NER,Tripura,213,1,3.6,01-02-2017
WR,Essar steel,450,0,9.4,01-02-2017
NR,Punjab,4862,0,92,01-02-2017
NR,Haryana,5723,191,104.3,01-02-2017
NR,Rajasthan,9766,73,200.8,01-02-2017
NR,Delhi,3784,0,63.9,01-02-2017
NR,UP,11782,0,261.3,01-02-2017
NR,Uttarakhand,1965,0,35,01-02-2017
NR,HP,1332,0,25.4,01-02-2017
NR,J&K,2265,566,44.5,01-02-2017
SR,Andhra Pradesh,7477,0,159.7,01-02-2017
WR,Chhattisgarh,3277,0,73.9,01-02-2017
WR,Gujarat,12912,0,281.2,01-02-2017
WR,MP,9665,0,202.7,01-02-2017
WR,Maharashtra,20251,0,429.8,01-02-2017
WR,Goa,445,0,9.6,01-02-2017
WR,DD,290,0,6.7,01-02-2017
WR,DNH,717,0,16.3,01-02-2017
NR,Chandigarh,217,0,3.6,01-02-2017
SR,Tamil Nadu,14188,0,286.5,01-02-2018
SR,Pondy,328,0,6.5,01-02-2018
ER,Bihar,3830,0,66.7,01-02-2018
ER,DVC,3083,0,67.7,01-02-2018
ER,Jharkhand,1288,0,22.9,01-02-2018
ER,Odisha,4131,0,73.9,01-02-2018
NER,Assam,1438,9,23.7,01-02-2018
ER,Sikkim,110,0,2,01-02-2018
NER,Arunachal Pradesh,125,3,2.4,01-02-2018
SR,Kerala,3362,0,67.1,01-02-2018
NER,Manipur,190,1,2.8,01-02-2018
NER,Meghalaya,325,0,5.8,01-02-2018
NER,Mizoram,96,1,1.8,01-02-2018
NER,Nagaland,118,2,2,01-02-2018
ER,West Bengal,6779,0,123.2,01-02-2018
SR,Karnataka,9758,0,207.9,01-02-2018
WR,DNH,733,0,17.4,01-02-2018
SR,Andhra Pradesh,8227,0,163.6,01-02-2018
NR,Punjab,5343,0,105.8,01-02-2018
NR,Haryana,6532,122,121.5,01-02-2018
NR,Rajasthan,9953,2663,208.2,01-02-2018
NR,Delhi,3707,0,64.8,01-02-2018
NR,UP,14203,780,296.1,01-02-2018
NR,Uttarakhand,1987,0,35.2,01-02-2018
NR,HP,1517,3,26.8,01-02-2018
SR,Telangana,9321,0,182.4,01-02-2018
NR,J&K,2158,540,44.7,01-02-2018
WR,Chhattisgarh,3390,0,73.8,01-02-2018
NER,Tripura,227,1,3.8,01-02-2018
WR,MP,9880,0,215.7,01-02-2018
WR,Maharashtra,20532,0,419,01-02-2018
WR,Goa,435,0,10,01-02-2018
WR,DD,317,0,7.1,01-02-2018
WR,Essar steel,493,0,9.6,01-02-2018
NR,Chandigarh,218,0,3.5,01-02-2018
WR,Gujarat,13995,0,302.2,01-02-2018
NER,Tripura,229,9,3.8,01-02-2019
WR,Essar steel,531,0,11,01-02-2019
SR,Karnataka,11646,0,217.6,01-02-2019
SR,Kerala,3541,0,70.6,01-02-2019
SR,Tamil Nadu,14262,0,302.2,01-02-2019
SR,Pondy,365,0,7.1,01-02-2019
ER,Bihar,4142,0,73.3,01-02-2019
ER,DVC,2998,0,63.9,01-02-2019
SR,Telangana,8543,0,167.8,01-02-2019
ER,Jharkhand,1141,0,24.8,01-02-2019
ER,West Bengal,6871,0,132.4,01-02-2019
ER,Sikkim,99,0,1.5,01-02-2019
NER,Arunachal Pradesh,124,3,2.2,01-02-2019
NER,Assam,1405,23,23.8,01-02-2019
NER,Nagaland,112,2,2.2,01-02-2019
NER,Mizoram,104,4,1.8,01-02-2019
ER,Odisha,3907,0,73.5,01-02-2019
SR,Andhra Pradesh,7546,0,159.5,01-02-2019
NER,Meghalaya,368,2,6.3,01-02-2019
WR,DNH,743,0,17.6,01-02-2019
NR,Punjab,5508,0,109.5,01-02-2019
NR,Haryana,6716,86,125.1,01-02-2019
NR,Rajasthan,12406,0,236.6,01-02-2019
NR,Delhi,4284,0,71.3,01-02-2019
NR,UP,13697,0,268,01-02-2019
NR,Uttarakhand,2182,0,35.7,01-02-2019
NR,HP,1639,0,30.4,01-02-2019
NR,J&K,2427,607,42.9,01-02-2019
NR,Chandigarh,260,0,3.9,01-02-2019
WR,Chhattisgarh,3602,0,78.8,01-02-2019
WR,Gujarat,15170,0,322.6,01-02-2019
WR,MP,13189,0,237.1,01-02-2019
WR,Maharashtra,19506,0,399.3,01-02-2019
WR,Goa,452,0,11.5,01-02-2019
WR,DD,310,0,7,01-02-2019
NER,Manipur,204,6,2.7,01-02-2019
