source,NR,WR,SR,ER,NER,All India,date
Hydro,231,96,144,87,25,583,21-09-2014
Wind Gen(MU),21,18,49,0,0,87,21-09-2014
Total,970,932,761,315,31,3009,22-09-2014
Hydro,233,104,156,88,25,605,22-09-2014
Wind Gen(MU),18,11,26,0,0,54,22-09-2014
Total,979,957,750,316,31,3033,23-09-2014
Wind Gen(MU),23,12,17,0,0,52,23-09-2014
Hydro,228,107,156,88,24,603,23-09-2014
Hydro,233,98,145,90,25,590,24-09-2014
Total,971,979,744,333,35,3062,24-09-2014
Wind Gen(MU),24,14,9,0,0,47,24-09-2014
Total,986,955,748,337,35,3062,25-09-2014
Wind Gen(MU),0,9,9,0,0,19,25-09-2014
Hydro,225,102,127,89,25,567,25-09-2014
Total,960,995,745,334,36,3069,26-09-2014
Hydro,202,97,135,88,23,546,26-09-2014
Wind Gen(MU),10,7,9,0,0,27,26-09-2014
Total,930,1014,735,342,37,3057,27-09-2014
Wind Gen(MU),14,11,9,0,0,34,27-09-2014
Hydro,195,105,139,90,24,554,27-09-2014
Total,941,1000,718,334,36,3028,28-09-2014
Hydro,196,86,115,87,23,507,28-09-2014
Wind Gen(MU),0,11,12,0,0,23,28-09-2014
Total,925,1028,731,341,35,3059,29-09-2014
Wind Gen(MU),0,10,7,0,0,17,29-09-2014
Hydro,207,101,146,90,23,566,29-09-2014
Wind Gen(MU),16,10,9,0,0,34,30-09-2014
Total,944,1021,730,344,38,3077,30-09-2014
Hydro,205,98,149,85,22,558,30-09-2014
Hydro,202,73,148,76,22,521,01-10-2014
Total,935,1012,735,338,40,3060,01-10-2014
Wind Gen(MU),12,7,7,0,0,26,01-10-2014
Hydro,195,49,128,66,19,457,02-10-2014
Wind Gen(MU),13,5,5,0,0,22,02-10-2014
Total,927,997,721,331,38,3013,02-10-2014
Wind Gen(MU),22,7,7,0,0,35,03-10-2014
Hydro,199,47,141,63,18,468,03-10-2014
Total,947,957,727,325,37,2993,03-10-2014
Hydro,205,64,133,59,18,480,04-10-2014
Wind Gen(MU),19,10,14,0,0,43,04-10-2014
Total,946,996,745,320,37,3044,04-10-2014
Hydro,204,62,130,60,17,472,05-10-2014
Wind Gen(MU),11,13,20,0,0,43,05-10-2014
Total,944,1005,741,332,38,3059,05-10-2014
Wind Gen(MU),5,10,35,0,0,50,06-10-2014
Total,959,1018,747,335,38,3096,06-10-2014
Hydro,209,59,131,58,17,473,06-10-2014
Wind Gen(MU),3,11,37,0,0,51,07-10-2014
Total,929,1009,751,335,39,3063,07-10-2014
Hydro,190,52,117,67,17,443,07-10-2014
Wind Gen(MU),6,11,27,0,0,43,08-10-2014
Total,860,1009,741,343,39,2992,08-10-2014
Hydro,179,46,107,63,16,411,08-10-2014
Total,869,1003,747,347,39,3004,09-10-2014
Hydro,173,46,115,71,16,421,09-10-2014
Wind Gen(MU),5,11,14,0,0,29,09-10-2014
Wind Gen(MU),2,7,38,0,0,48,10-10-2014
Hydro,175,42,116,72,16,420,10-10-2014
Total,861,1008,756,350,39,3014,10-10-2014
Wind Gen(MU),3,11,51,0,0,65,11-10-2014
Hydro,178,28,118,72,16,412,11-10-2014
Total,878,1014,750,346,39,3027,11-10-2014
Total,839,979,683,301,38,2839,12-10-2014
Hydro,157,38,103,43,15,357,12-10-2014
Wind Gen(MU),4,14,50,0,0,68,12-10-2014
Hydro,162,29,136,40,15,382,13-10-2014
Wind Gen(MU),10,16,38,0,0,64,13-10-2014
Total,843,961,719,301,40,2864,13-10-2014
Hydro,156,43,147,57,16,418,14-10-2014
Wind Gen(MU),15,12,11,0,0,37,14-10-2014
Total,748,983,738,321,40,2828,14-10-2014
Wind Gen(MU),10,14,10,0,0,34,15-10-2014
Hydro,216,42,153,65,14,490,15-10-2014
Total,749,984,737,323,38,2831,15-10-2014
Hydro,155,48,152,62,15,432,16-10-2014
Total,747,1009,745,329,38,2868,16-10-2014
Wind Gen(MU),7,13,11,0,0,31,16-10-2014
Wind Gen(MU),7,9,11,0,0,26,17-10-2014
Hydro,150,35,146,58,16,405,17-10-2014
Total,755,1003,738,340,38,2874,17-10-2014
Hydro,147,38,135,60,14,393,18-10-2014
Total,760,993,709,327,36,2825,18-10-2014
Wind Gen(MU),3,8,9,0,0,19,18-10-2014
Wind Gen(MU),3,7,10,0,0,20,19-10-2014
Total,759,984,669,313,34,2759,19-10-2014
Hydro,142,29,122,49,14,356,19-10-2014
Total,778,1012,685,328,35,2839,20-10-2014
Hydro,140,30,126,54,14,364,20-10-2014
Wind Gen(MU),3,13,18,0,0,33,20-10-2014
Total,813,1014,685,328,37,2877,21-10-2014
Hydro,139,30,111,49,13,342,21-10-2014
Wind Gen(MU),3,13,22,0,0,38,21-10-2014
Total,826,989,644,335,39,2833,22-10-2014
Wind Gen(MU),2,13,18,0,0,34,22-10-2014
Hydro,138,36,91,53,12,330,22-10-2014
Wind Gen(MU),2,10,12,0,0,23,23-10-2014
Hydro,130,32,83,48,11,304,23-10-2014
Total,790,892,627,335,38,2682,23-10-2014
Wind Gen(MU),2,9,11,0,0,22,24-10-2014
Hydro,134,25,91,49,13,311,24-10-2014
Total,744,853,658,335,38,2628,24-10-2014
Wind Gen(MU),3,22,6,0,0,30,25-10-2014
Total,778,840,652,327,37,2634,25-10-2014
Hydro,131,22,78,48,13,291,25-10-2014
Wind Gen(MU),3,14,4,0,0,21,26-10-2014
Hydro,126,23,52,46,12,258,26-10-2014
Total,756,836,600,322,36,2550,26-10-2014
Total,785,888,631,320,36,2660,27-10-2014
Hydro,132,33,67,45,12,289,27-10-2014
Wind Gen(MU),2,9,4,0,0,15,27-10-2014
Total,785,919,650,319,37,2709,28-10-2014
Hydro,126,38,69,45,13,291,28-10-2014
Wind Gen(MU),9,4,5,0,0,17,28-10-2014
Total,761,932,674,326,36,2729,29-10-2014
Hydro,120,33,79,42,12,286,29-10-2014
Wind Gen(MU),8,7,8,0,0,23,29-10-2014
Total,781,935,681,323,36,2757,30-10-2014
Hydro,124,41,70,47,13,295,30-10-2014
Wind Gen(MU),1,18,10,0,0,28,30-10-2014
Total,799,942,701,325,36,2803,31-10-2014
Hydro,118,50,88,47,13,315,31-10-2014
Wind Gen(MU),2,18,7,0,0,27,31-10-2014
Hydro,117,37,73,40,9,276,01-11-2014
Total,781,945,685,323,36,2770,01-11-2014
Wind Gen(MU),1,16,9,0,0,25,01-11-2014
Total,757,945,652,312,36,2702,02-11-2014
Hydro,117,40,63,39,9,269,02-11-2014
Wind Gen(MU),2,16,7,0,0,24,02-11-2014
Wind Gen(MU),3,14,9,0,0,27,03-11-2014
Hydro,119,50,82,38,9,298,03-11-2014
Total,771,978,683,311,36,2779,03-11-2014
Total,773,980,707,306,36,2802,04-11-2014
Wind Gen(MU),4,8,5,0,0,17,04-11-2014
Hydro,116,60,92,34,9,311,04-11-2014
Wind Gen(MU),2,9,6,0,0,16,05-11-2014
Total,769,993,715,309,37,2822,05-11-2014
Hydro,109,54,82,29,9,283,05-11-2014
Total,776,991,726,314,37,2844,06-11-2014
Wind Gen(MU),4,12,4,0,0,20,06-11-2014
Hydro,106,54,92,32,9,293,06-11-2014
Hydro,116,44,97,32,9,298,07-11-2014
Total,778,990,732,314,36,2851,07-11-2014
Wind Gen(MU),6,8,6,0,0,19,07-11-2014
Wind Gen(MU),9,15,10,0,0,34,08-11-2014
Hydro,120,37,101,29,9,295,08-11-2014
Total,783,989,731,313,36,2852,08-11-2014
Total,771,970,704,308,36,2789,09-11-2014
Hydro,114,33,88,28,8,271,09-11-2014
Wind Gen(MU),15,19,9,0,0,43,09-11-2014
Wind Gen(MU),9,22,6,0,0,37,10-11-2014
Total,762,995,725,317,36,2836,10-11-2014
Hydro,116,49,108,29,8,310,10-11-2014
Total,775,1009,732,320,35,2870,11-11-2014
Hydro,116,44,106,27,8,301,11-11-2014
Wind Gen(MU),3,28,11,0,0,41,11-11-2014
Total,773,1005,715,312,35,2841,12-11-2014
Hydro,112,33,96,24,8,274,12-11-2014
Wind Gen(MU),9,28,16,0,0,54,12-11-2014
Total,780,1009,680,316,36,2820,13-11-2014
Hydro,112,37,73,26,8,257,13-11-2014
Wind Gen(MU),10,34,24,0,0,67,13-11-2014
Total,771,994,666,307,36,2773,14-11-2014
Wind Gen(MU),3,37,18,0,0,59,14-11-2014
Hydro,111,39,82,25,8,266,14-11-2014
Hydro,110,27,77,25,8,246,15-11-2014
Wind Gen(MU),1,19,19,0,0,39,15-11-2014
Total,784,951,670,304,35,2744,15-11-2014
Total,764,920,650,296,32,2662,16-11-2014
Hydro,106,19,52,26,7,210,16-11-2014
Wind Gen(MU),1,7,21,0,0,29,16-11-2014
Total,770,941,691,303,34,2740,17-11-2014
Hydro,109,27,75,27,7,244,17-11-2014
Wind Gen(MU),2,6,28,0,0,37,17-11-2014
Hydro,111,34,82,27,7,261,18-11-2014
Wind Gen(MU),1,11,31,0,0,43,18-11-2014
Total,771,958,709,295,35,2767,18-11-2014
Total,772,959,704,297,34,2766,19-11-2014
Wind Gen(MU),1,12,25,0,0,39,19-11-2014
Hydro,108,33,86,27,7,262,19-11-2014
Wind Gen(MU),1,8,23,0,0,32,20-11-2014
Total,787,961,715,303,35,2800,20-11-2014
Hydro,103,34,89,24,7,256,20-11-2014
Wind Gen(MU),1,4,17,0,0,22,21-11-2014
Hydro,104,39,93,25,7,267,21-11-2014
Total,841,966,724,299,36,2865,21-11-2014
Hydro,102,31,91,29,8,260,22-11-2014
Total,774,969,719,302,33,2797,22-11-2014
Wind Gen(MU),0,37,11,0,0,49,22-11-2014
Hydro,95,23,80,26,8,231,23-11-2014
Total,744,946,680,290,35,2695,23-11-2014
Wind Gen(MU),4,6,18,0,0,28,23-11-2014
Hydro,101,32,94,29,8,264,24-11-2014
Total,771,971,711,300,35,2788,24-11-2014
Wind Gen(MU),8,10,24,0,0,42,24-11-2014
Hydro,96,36,97,21,8,259,25-11-2014
Wind Gen(MU),4,13,25,0,0,42,25-11-2014
Total,795,977,717,292,37,2816,25-11-2014
Wind Gen(MU),1,9,24,0,0,34,26-11-2014
Hydro,107,36,96,13,8,260,26-11-2014
Total,807,975,724,290,37,2833,26-11-2014
Hydro,107,42,96,23,7,276,27-11-2014
Total,799,977,725,296,36,2832,27-11-2014
Wind Gen(MU),10,8,17,0,0,35,27-11-2014
Total,801,969,716,292,36,2814,28-11-2014
Wind Gen(MU),3,5,9,0,0,17,28-11-2014
Hydro,99,39,105,18,7,267,28-11-2014
Hydro,96,42,104,21,7,269,29-11-2014
Total,813,967,704,293,37,2814,29-11-2014
Wind Gen(MU),2,5,9,0,0,16,29-11-2014
Hydro,97,37,73,25,7,239,30-11-2014
Total,802,938,679,291,33,2742,30-11-2014
Wind Gen(MU),3,11,17,0,0,32,30-11-2014
Wind Gen(MU),6,17,27,0,0,50,01-12-2014
Total,794,954,701,295,36,2780,01-12-2014
Hydro,95,44,91,24,7,262,01-12-2014
Wind Gen(MU),2,12,26,0,0,40,02-12-2014
Hydro,97,41,98,26,7,269,02-12-2014
Total,791,968,721,293,36,2809,02-12-2014
Total,800,965,725,295,37,2822,03-12-2014
Wind Gen(MU),1,9,19,0,0,29,03-12-2014
Hydro,102,43,103,24,7,278,03-12-2014
Wind Gen(MU),1,11,17,0,0,29,04-12-2014
Hydro,99,44,99,24,7,273,04-12-2014
Total,808,972,741,298,35,2854,04-12-2014
Total,785,963,747,286,34,2816,05-12-2014
Wind Gen(MU),2,21,16,0,0,39,05-12-2014
Hydro,98,36,96,18,7,255,05-12-2014
Wind Gen(MU),3,36,20,0,0,58,06-12-2014
Hydro,97,32,91,23,7,249,06-12-2014
Total,800,961,746,289,35,2830,06-12-2014
Wind Gen(MU),2,22,15,0,0,39,07-12-2014
Total,794,936,712,290,34,2767,07-12-2014
Hydro,94,36,64,23,7,224,07-12-2014
Total,812,958,745,291,36,2841,08-12-2014
Wind Gen(MU),1,13,10,0,0,24,08-12-2014
Hydro,97,48,84,22,7,258,08-12-2014
Hydro,100,56,81,27,6,270,09-12-2014
Total,819,977,769,297,36,2899,09-12-2014
Wind Gen(MU),2,13,12,0,0,27,09-12-2014
Wind Gen(MU),9,27,13,0,0,49,10-12-2014
Hydro,99,53,82,25,6,264,10-12-2014
Total,819,975,749,293,36,2872,10-12-2014
Total,825,982,730,291,37,2865,11-12-2014
Hydro,100,44,81,22,6,253,11-12-2014
Wind Gen(MU),19,28,11,0,0,57,11-12-2014
Wind Gen(MU),21,22,15,0,0,58,12-12-2014
Hydro,101,35,75,22,6,239,12-12-2014
Total,818,953,721,292,37,2821,12-12-2014
Hydro,95,26,71,28,6,227,13-12-2014
Total,790,867,704,308,37,2706,13-12-2014
Wind Gen(MU),14,18,12,0,0,43,13-12-2014
Wind Gen(MU),4,15,6,0,0,25,14-12-2014
Hydro,84,24,52,23,6,189,14-12-2014
Total,695,840,664,295,37,2530,14-12-2014
Wind Gen(MU),3,22,10,0,0,34,15-12-2014
Total,735,859,714,295,36,2639,15-12-2014
Hydro,95,28,67,24,6,220,15-12-2014
Hydro,95,33,62,22,6,219,16-12-2014
Total,771,863,733,291,37,2695,16-12-2014
Wind Gen(MU),3,44,24,0,0,71,16-12-2014
Wind Gen(MU),3,46,28,0,0,77,17-12-2014
Total,789,863,721,291,37,2701,17-12-2014
Hydro,96,27,61,26,6,217,17-12-2014
Wind Gen(MU),2,37,30,0,0,69,18-12-2014
Total,801,869,717,302,36,2725,18-12-2014
Hydro,94,167,59,26,6,352,18-12-2014
Total,808,880,722,301,36,2747,19-12-2014
Hydro,93,39,63,22,7,225,19-12-2014
Wind Gen(MU),3,31,24,0,0,58,19-12-2014
Wind Gen(MU),7,28,22,0,0,56,20-12-2014
Hydro,96,37,65,24,8,230,20-12-2014
Total,804,891,725,304,37,2760,20-12-2014
Total,786,884,691,302,36,2700,21-12-2014
Hydro,90,22,52,27,7,198,21-12-2014
Wind Gen(MU),0,13,12,0,0,25,21-12-2014
Total,798,907,723,307,36,2771,22-12-2014
Hydro,96,32,75,19,7,227,22-12-2014
Wind Gen(MU),3,12,17,0,0,32,22-12-2014
Hydro,96,41,84,14,7,241,23-12-2014
Wind Gen(MU),5,13,18,0,0,35,23-12-2014
Total,815,917,732,304,37,2804,23-12-2014
Hydro,96,48,72,22,6,244,24-12-2014
Total,822,922,739,300,38,2820,24-12-2014
Wind Gen(MU),8,18,14,0,0,39,24-12-2014
Hydro,97,46,67,26,7,243,25-12-2014
Total,830,919,734,305,38,2824,25-12-2014
Wind Gen(MU),3,23,10,0,0,37,25-12-2014
Total,836,923,736,300,35,2829,26-12-2014
Hydro,97,37,77,25,7,244,26-12-2014
Wind Gen(MU),1,33,15,0,0,49,26-12-2014
Total,880,914,732,295,37,2858,27-12-2014
Hydro,96,32,73,20,7,227,27-12-2014
Wind Gen(MU),1,25,18,0,0,43,27-12-2014
Wind Gen(MU),2,26,17,0,0,45,28-12-2014
Hydro,90,27,51,20,6,195,28-12-2014
Total,824,893,709,284,37,2747,28-12-2014
Total,845,917,726,286,36,2810,29-12-2014
Hydro,93,44,74,18,6,235,29-12-2014
Wind Gen(MU),4,22,7,0,0,33,29-12-2014
Hydro,95,42,80,16,6,239,30-12-2014
Wind Gen(MU),10,22,8,0,0,39,30-12-2014
Total,847,917,738,294,38,2833,30-12-2014
Hydro,94,39,83,19,7,241,31-12-2014
Total,850,875,752,301,38,2816,31-12-2014
Wind Gen(MU),16,31,7,0,0,54,31-12-2014
Total,827,767,736,294,38,2662,01-01-2015
Hydro,89,26,57,7,6,185,01-01-2015
Wind Gen(MU),21,36,14,0,0,71,01-01-2015
Wind Gen(MU),12,18,6,0,0,36,02-01-2015
Total,796,783,751,283,36,2648,02-01-2015
Hydro,92,33,70,23,6,223,02-01-2015
Wind Gen(MU),2,8,5,0,0,15,03-01-2015
Hydro,93,32,82,23,6,236,03-01-2015
Total,803,801,744,283,38,2669,03-01-2015
Hydro,85,23,58,29,5,201,04-01-2015
Wind Gen(MU),8,19,8,0,0,35,04-01-2015
Total,803,798,720,284,34,2639,04-01-2015
Total,803,820,749,292,35,2699,05-01-2015
Hydro,90,28,80,23,6,228,05-01-2015
Wind Gen(MU),1,24,15,0,0,41,05-01-2015
Hydro,93,33,78,18,6,228,06-01-2015
Wind Gen(MU),2,10,12,0,0,24,06-01-2015
Total,826,847,763,289,36,2762,06-01-2015
Wind Gen(MU),2,7,5,0,0,13,07-01-2015
Hydro,91,34,84,21,6,237,07-01-2015
Total,828,853,768,295,36,2779,07-01-2015
Hydro,91,43,84,20,6,244,08-01-2015
Wind Gen(MU),2,7,5,0,0,14,08-01-2015
Total,830,863,773,295,36,2797,08-01-2015
Total,844,864,778,303,36,2825,09-01-2015
Hydro,92,44,76,14,6,232,09-01-2015
Wind Gen(MU),3,11,12,0,0,25,09-01-2015
Hydro,82,47,67,18,7,222,10-01-2015
Total,839,874,776,304,36,2829,10-01-2015
Wind Gen(MU),2,12,19,0,0,33,10-01-2015
Hydro,90,39,53,19,7,208,11-01-2015
Wind Gen(MU),28,15,18,0,0,62,11-01-2015
Total,826,860,738,300,35,2760,11-01-2015
Wind Gen(MU),4,14,17,0,0,35,12-01-2015
Hydro,94,46,71,19,7,235,12-01-2015
Total,843,888,752,304,35,2822,12-01-2015
Total,835,897,758,311,35,2835,13-01-2015
Wind Gen(MU),4,13,15,0,0,31,13-01-2015
Hydro,92,81,77,18,7,275,13-01-2015
Wind Gen(MU),9,17,10,0,0,35,14-01-2015
Total,817,841,753,301,36,2749,14-01-2015
Hydro,90,47,88,17,7,249,14-01-2015
Hydro,91,55,76,19,7,248,15-01-2015
Total,814,865,705,303,34,2721,15-01-2015
Wind Gen(MU),8,33,12,0,0,53,15-01-2015
Total,827,887,692,303,36,2744,16-01-2015
Hydro,92,47,86,18,6,250,16-01-2015
Wind Gen(MU),5,28,12,0,0,45,16-01-2015
Hydro,93,54,96,21,6,271,17-01-2015
Wind Gen(MU),5,22,15,0,0,42,17-01-2015
Total,821,900,712,307,38,2779,17-01-2015
Hydro,91,47,80,23,7,248,18-01-2015
Total,803,889,709,304,36,2741,18-01-2015
Wind Gen(MU),25,17,15,0,0,56,18-01-2015
Wind Gen(MU),24,12,18,0,0,54,19-01-2015
Hydro,93,51,86,25,7,261,19-01-2015
Total,819,909,742,315,36,2821,19-01-2015
Wind Gen(MU),9,10,17,0,0,36,20-01-2015
Hydro,92,52,82,18,6,250,20-01-2015
Total,833,916,761,312,36,2859,20-01-2015
Total,842,912,763,307,35,2859,21-01-2015
Hydro,89,52,80,14,6,241,21-01-2015
Wind Gen(MU),5,6,19,0,0,30,21-01-2015
Total,769,885,768,308,36,2765,22-01-2015
Wind Gen(MU),5,12,14,0,0,31,22-01-2015
Hydro,82,49,80,18,6,234,22-01-2015
Total,791,881,778,302,36,2788,23-01-2015
Wind Gen(MU),6,21,15,0,0,42,23-01-2015
Hydro,85,52,85,16,5,243,23-01-2015
Hydro,83,56,67,20,5,231,24-01-2015
Wind Gen(MU),6,27,16,0,0,49,24-01-2015
Total,793,887,773,310,36,2798,24-01-2015
Total,778,846,738,302,36,2701,25-01-2015
Wind Gen(MU),7,28,20,0,0,55,25-01-2015
Hydro,81,57,50,19,5,212,25-01-2015
Total,745,802,728,297,35,2608,26-01-2015
Hydro,83,41,49,21,5,200,26-01-2015
Wind Gen(MU),4,22,20,0,0,46,26-01-2015
Hydro,84,54,58,20,5,221,27-01-2015
Wind Gen(MU),6,23,23,0,0,51,27-01-2015
Total,772,836,760,304,35,2708,27-01-2015
Total,797,874,783,304,36,2794,28-01-2015
Wind Gen(MU),10,34,18,0,0,62,28-01-2015
Hydro,81,52,67,21,5,225,28-01-2015
Wind Gen(MU),2,23,14,0,0,40,29-01-2015
Hydro,85,51,75,15,5,232,29-01-2015
Total,808,873,790,301,37,2809,29-01-2015
Total,821,881,795,303,35,2835,30-01-2015
Wind Gen(MU),5,28,21,0,0,54,30-01-2015
Hydro,83,45,69,14,5,217,30-01-2015
Wind Gen(MU),4,12,25,0,0,40,31-01-2015
Hydro,89,46,63,16,5,218,31-01-2015
Total,829,886,787,304,35,2841,31-01-2015
Total,794,866,753,301,36,2750,01-02-2015
Hydro,116,39,56,17,5,232,01-02-2015
Wind Gen(MU),3,8,17,0,0,28,01-02-2015
Hydro,92,48,58,16,5,220,02-02-2015
Wind Gen(MU),8,10,32,0,0,50,02-02-2015
Total,792,907,777,302,36,2813,02-02-2015
Wind Gen(MU),9,25,31,0,0,66,03-02-2015
Hydro,94,58,61,19,5,237,03-02-2015
Total,765,899,790,303,36,2793,03-02-2015
Hydro,90,51,66,23,5,235,04-02-2015
Total,796,913,792,306,35,2842,04-02-2015
Wind Gen(MU),8,43,33,0,0,84,04-02-2015
Hydro,94,44,73,20,5,236,05-02-2015
Total,799,919,797,310,36,2861,05-02-2015
Wind Gen(MU),7,30,28,0,0,66,05-02-2015
Wind Gen(MU),3,17,28,0,0,47,06-02-2015
Hydro,95,45,69,19,5,233,06-02-2015
Total,796,919,803,305,36,2860,06-02-2015
Total,789,921,797,307,36,2850,07-02-2015
Hydro,95,53,73,16,5,242,07-02-2015
Wind Gen(MU),5,20,25,0,0,50,07-02-2015
Total,780,884,764,304,36,2768,08-02-2015
Hydro,92,42,57,17,5,213,08-02-2015
Wind Gen(MU),21,20,14,0,0,55,08-02-2015
Hydro,93,48,65,18,5,229,09-02-2015
Wind Gen(MU),16,24,20,0,0,60,09-02-2015
Total,790,900,794,310,36,2830,09-02-2015
Total,802,915,804,318,37,2875,10-02-2015
Hydro,97,46,75,17,6,241,10-02-2015
Wind Gen(MU),10,42,22,0,0,74,10-02-2015
Total,816,888,806,314,37,2861,11-02-2015
Hydro,95,37,83,21,6,241,11-02-2015
Wind Gen(MU),2,28,16,0,0,46,11-02-2015
Hydro,95,40,86,19,6,245,12-02-2015
Wind Gen(MU),2,14,14,0,0,30,12-02-2015
Total,815,904,809,311,36,2874,12-02-2015
Hydro,102,40,88,17,4,252,13-02-2015
Total,824,911,825,314,34,2908,13-02-2015
Wind Gen(MU),17,13,8,0,0,38,13-02-2015
Wind Gen(MU),10,11,8,0,0,29,14-02-2015
Hydro,102,41,93,19,4,259,14-02-2015
Total,820,920,814,310,36,2900,14-02-2015
Total,809,971,786,310,36,2913,15-02-2015
Hydro,100,34,67,19,3,224,15-02-2015
Wind Gen(MU),9,9,6,0,0,24,15-02-2015
Wind Gen(MU),14,13,13,0,0,40,16-02-2015
Hydro,103,42,86,21,3,256,16-02-2015
Total,785,937,813,316,33,2885,16-02-2015
Total,808,940,827,317,36,2928,17-02-2015
Hydro,111,41,95,18,5,268,17-02-2015
Wind Gen(MU),7,18,7,0,0,32,17-02-2015
Hydro,112,37,90,19,4,262,18-02-2015
Total,810,951,817,312,36,2926,18-02-2015
Wind Gen(MU),2,15,8,0,0,25,18-02-2015
Hydro,115,39,94,20,4,273,19-02-2015
Total,821,966,819,310,35,2952,19-02-2015
Wind Gen(MU),7,11,9,0,0,27,19-02-2015
Wind Gen(MU),5,9,19,0,0,34,20-02-2015
Total,800,964,828,315,36,2942,20-02-2015
Hydro,122,45,93,17,4,282,20-02-2015
Wind Gen(MU),8,13,30,0,0,51,21-02-2015
Hydro,129,31,75,16,4,254,21-02-2015
Total,812,968,822,317,35,2954,21-02-2015
Hydro,125,37,59,13,4,236,22-02-2015
Total,789,958,788,316,34,2884,22-02-2015
Wind Gen(MU),7,10,24,0,0,40,22-02-2015
Total,798,977,808,338,32,2953,23-02-2015
Wind Gen(MU),10,11,27,0,0,48,23-02-2015
Hydro,131,42,74,21,4,271,23-02-2015
Hydro,131,50,77,23,4,285,24-02-2015
Total,793,993,827,350,36,2998,24-02-2015
Wind Gen(MU),10,20,21,0,0,51,24-02-2015
Wind Gen(MU),12,28,11,0,0,52,25-02-2015
Total,773,986,830,342,36,2967,25-02-2015
Hydro,136,43,84,26,4,293,25-02-2015
Total,786,971,837,347,33,2973,26-02-2015
Hydro,156,40,86,23,4,309,26-02-2015
Wind Gen(MU),6,23,9,0,0,37,26-02-2015
Hydro,149,39,92,25,4,309,27-02-2015
Total,807,957,838,340,32,2974,27-02-2015
Wind Gen(MU),6,15,10,0,0,30,27-02-2015
Hydro,126,38,91,20,6,282,28-02-2015
Total,794,924,820,337,24,2899,28-02-2015
Wind Gen(MU),20,16,10,0,0,46,28-02-2015
Total,592,752,783,330,38,2494,01-03-2015
Wind Gen(MU),2,24,14,0,0,41,01-03-2015
Total,614,722,757,333,35,2461,01-03-2015
Hydro,115,27,55,18,5,220,01-03-2015
Wind Gen(MU),7,27,16,0,0,49,01-03-2015
Hydro,129,36,66,20,6,257,01-03-2015
Hydro,136,42,74,21,5,278,03-03-2015
Total,679,813,803,329,34,2658,03-03-2015
Wind Gen(MU),5,9,9,0,0,23,03-03-2015
Wind Gen(MU),5,7,7,0,0,19,04-03-2015
Hydro,133,43,76,20,4,276,04-03-2015
Total,695,838,800,315,34,2683,04-03-2015
Wind Gen(MU),12,10,6,0,0,28,05-03-2015
Hydro,133,40,95,20,4,292,05-03-2015
Total,720,844,815,308,34,2720,05-03-2015
Wind Gen(MU),12,14,9,0,0,35,06-03-2015
Hydro,125,31,90,16,3,264,06-03-2015
Total,642,741,792,301,34,2509,06-03-2015
Wind Gen(MU),5,16,9,0,0,30,07-03-2015
Hydro,113,41,76,22,4,257,07-03-2015
Total,643,818,786,306,34,2587,07-03-2015
Hydro,113,40,64,19,4,240,08-03-2015
Wind Gen(MU),5,20,11,0,0,36,08-03-2015
Total,652,841,759,310,35,2597,08-03-2015
Hydro,119,41,83,24,4,271,09-03-2015
Wind Gen(MU),10,32,10,0,0,52,09-03-2015
Total,675,900,785,331,35,2725,09-03-2015
Hydro,121,39,81,24,4,267,10-03-2015
Total,711,901,809,337,36,2795,10-03-2015
Wind Gen(MU),15,45,20,0,0,80,10-03-2015
Wind Gen(MU),11,23,27,0,0,60,11-03-2015
Total,727,911,818,335,36,2827,11-03-2015
Hydro,123,37,71,23,4,257,11-03-2015
Total,735,904,829,337,36,2841,12-03-2015
Wind Gen(MU),15,41,29,0,0,85,12-03-2015
Hydro,116,35,76,21,4,252,12-03-2015
Total,731,871,843,345,36,2826,13-03-2015
Wind Gen(MU),10,15,26,0,0,51,13-03-2015
Hydro,117,34,91,23,3,269,13-03-2015
Wind Gen(MU),10,18,18,0,0,46,14-03-2015
Total,677,856,832,346,35,2746,14-03-2015
Hydro,110,40,93,26,3,272,14-03-2015
Wind Gen(MU),7,18,11,0,0,36,15-03-2015
Total,609,809,799,335,35,2586,15-03-2015
Hydro,112,36,70,23,3,244,15-03-2015
Wind Gen(MU),6,19,14,0,0,39,17-03-2015
Wind Gen(MU),3,12,10,0,0,25,17-03-2015
Total,636,864,827,343,36,2706,17-03-2015
Hydro,120,42,89,24,3,277,17-03-2015
Hydro,127,36,97,26,3,289,17-03-2015
Total,674,874,833,349,38,2767,17-03-2015
Wind Gen(MU),3,20,8,0,0,31,18-03-2015
Total,695,897,845,354,34,2825,18-03-2015
Hydro,128,41,99,24,3,295,18-03-2015
Wind Gen(MU),3,19,9,0,0,32,19-03-2015
Total,714,923,871,356,36,2900,19-03-2015
Hydro,126,45,103,21,4,298,19-03-2015
Hydro,126,55,91,25,3,300,21-03-2015
Wind Gen(MU),4,31,14,0,0,48,21-03-2015
Total,733,933,845,354,36,2902,21-03-2015
Hydro,123,50,81,23,3,279,22-03-2015
Total,725,927,815,345,36,2848,22-03-2015
Wind Gen(MU),6,17,10,0,0,33,22-03-2015
Total,760,965,861,351,36,2973,23-03-2015
Wind Gen(MU),6,17,8,0,0,31,23-03-2015
Hydro,132,57,116,22,3,331,23-03-2015
Wind Gen(MU),14,24,10,0,0,47,24-03-2015
Hydro,137,64,128,27,3,359,24-03-2015
