source,NR,WR,SR,ER,NER,All India,date
Wind Gen(MU),8,39,67,0,0,114,11-05-2013
Hydro,217,26,27,44,13,327,12-05-2013
Wind Gen(MU),14,44,81,0,0,138,12-05-2013
Total,789,844,691,289,26,2640,12-05-2013
Total,809,868,712,288,27,2704,13-05-2013
Hydro,202,50,40,54,14,360,13-05-2013
Wind Gen(MU),8,30,69,0,0,106,13-05-2013
Total,835,880,732,303,28,2777,14-05-2013
Hydro,202,47,39,52,16,356,14-05-2013
Wind Gen(MU),7,33,89,0,0,129,14-05-2013
Total,840,873,731,308,32,2784,15-05-2013
Hydro,203,50,37,50,14,355,15-05-2013
Wind Gen(MU),8,34,95,0,0,137,15-05-2013
Wind Gen(MU),10,42,68,0,0,120,16-05-2013
Hydro,204,49,43,47,13,356,16-05-2013
Total,855,875,728,310,29,2797,16-05-2013
Total,879,869,708,300,30,2786,17-05-2013
Hydro,217,43,53,47,14,374,17-05-2013
Wind Gen(MU),25,43,48,0,0,116,17-05-2013
Total,873,864,698,301,30,2766,18-05-2013
Hydro,239,49,54,54,14,410,18-05-2013
Wind Gen(MU),20,37,44,0,0,101,18-05-2013
Total,871,842,689,287,29,2718,19-05-2013
Hydro,253,31,31,43,14,372,19-05-2013
Wind Gen(MU),26,33,39,0,0,98,19-05-2013
Total,891,859,689,309,31,2779,20-05-2013
Wind Gen(MU),20,29,44,0,0,93,20-05-2013
Hydro,267,50,35,49,14,415,20-05-2013
Total,901,874,698,316,33,2821,21-05-2013
Wind Gen(MU),18,40,52,0,0,110,21-05-2013
Hydro,275,47,31,53,12,418,21-05-2013
Total,907,876,727,318,31,2858,22-05-2013
Hydro,279,44,33,57,12,425,22-05-2013
Wind Gen(MU),12,49,86,0,0,147,22-05-2013
Total,912,875,720,319,31,2857,23-05-2013
Hydro,275,44,34,54,13,420,23-05-2013
Wind Gen(MU),15,59,92,0,0,166,23-05-2013
Wind Gen(MU),24,69,105,0,0,197,24-05-2013
Total,925,872,732,319,33,2880,24-05-2013
Hydro,278,44,40,58,18,437,24-05-2013
Wind Gen(MU),33,72,103,0,0,208,25-05-2013
Hydro,281,41,36,53,22,432,25-05-2013
Total,929,870,719,312,33,2862,25-05-2013
Hydro,262,30,26,59,15,392,26-05-2013
Total,904,849,689,309,34,2785,26-05-2013
Wind Gen(MU),27,66,90,0,0,183,26-05-2013
Wind Gen(MU),20,54,90,0,0,164,27-05-2013
Hydro,275,31,30,44,13,395,27-05-2013
Total,916,866,695,302,32,2811,27-05-2013
Hydro,274,41,34,55,13,416,28-05-2013
Wind Gen(MU),13,54,85,0,0,152,28-05-2013
Total,927,864,700,308,31,2831,28-05-2013
Wind Gen(MU),13,57,76,0,0,146,29-05-2013
Hydro,267,45,31,63,17,422,29-05-2013
Total,924,862,684,295,33,2798,29-05-2013
Wind Gen(MU),14,50,64,0,0,128,31-05-2013
Hydro,265,48,32,63,22,430,31-05-2013
Total,909,865,653,254,33,2714,31-05-2013
Hydro,280,41,32,66,19,437,01-06-2013
Wind Gen(MU),17,36,65,0,0,118,01-06-2013
Total,887,842,628,281,33,2671,01-06-2013
Total,860,801,609,295,34,2599,02-06-2013
Hydro,288,25,25,70,17,424,02-06-2013
Wind Gen(MU),17,20,75,0,0,113,02-06-2013
Wind Gen(MU),8,17,76,0,0,101,04-06-2013
Hydro,292,35,39,73,14,452,04-06-2013
Total,908,806,651,318,33,2716,04-06-2013
Total,921,798,669,315,34,2737,05-06-2013
Hydro,292,33,46,71,14,456,05-06-2013
Wind Gen(MU),20,27,74,0,0,121,05-06-2013
Hydro,278,27,35,71,12,423,06-06-2013
Wind Gen(MU),29,34,82,0,0,145,06-06-2013
Total,884,805,657,319,32,2696,06-06-2013
Total,867,768,656,316,32,2640,07-06-2013
Hydro,286,28,28,66,13,421,07-06-2013
Wind Gen(MU),22,23,83,0,0,128,07-06-2013
Total,910,772,641,309,32,2664,08-06-2013
Hydro,296,34,27,58,13,427,08-06-2013
Wind Gen(MU),18,18,91,0,0,127,08-06-2013
Hydro,288,25,25,64,13,414,09-06-2013
Total,894,741,618,311,33,2598,09-06-2013
Wind Gen(MU),17,33,89,0,0,139,09-06-2013
Total,909,749,648,305,35,2646,10-06-2013
Hydro,242,28,37,63,15,385,10-06-2013
Wind Gen(MU),10,33,89,0,0,132,10-06-2013
Hydro,268,24,29,59,15,395,11-06-2013
Total,866,749,658,316,35,2624,11-06-2013
Wind Gen(MU),6,33,97,0,0,136,11-06-2013
Total,891,690,649,311,33,2573,12-06-2013
Hydro,299,27,34,55,14,428,12-06-2013
Wind Gen(MU),3,36,103,0,0,142,12-06-2013
Total,831,692,641,301,34,2499,13-06-2013
Hydro,286,23,33,52,13,406,13-06-2013
Wind Gen(MU),1,31,109,0,0,141,13-06-2013
Wind Gen(MU),2,36,115,0,0,153,14-06-2013
Total,854,727,645,299,35,2559,14-06-2013
Hydro,296,26,36,52,13,423,14-06-2013
Total,762,704,645,300,35,2446,15-06-2013
Hydro,267,39,36,50,12,404,15-06-2013
Wind Gen(MU),3,31,112,0,0,147,15-06-2013
Total,684,673,634,299,33,2323,16-06-2013
Hydro,244,38,40,60,13,395,16-06-2013
Wind Gen(MU),6,39,102,0,0,147,16-06-2013
Wind Gen(MU),7,43,104,0,0,153,17-06-2013
Hydro,169,52,56,59,14,350,17-06-2013
Total,672,677,675,324,35,2384,17-06-2013
Total,753,695,694,331,34,2507,18-06-2013
Hydro,184,63,60,57,15,378,18-06-2013
Wind Gen(MU),10,43,110,0,0,163,18-06-2013
Hydro,206,71,67,59,16,419,19-06-2013
